Hunt Code,Unit/Description,Bag,Licenses,1st_choice_total_submissions,2nd_choice_total_submissions,3rd_choice_total_submissions,Total_all_submissions,1st_resident,2nd_resident,3rd_resident,Total_resident,1st_nonresident,2nd_nonresident,3rd_nonresident,Total_nonresident,1st_outfitter,2nd_outfitter,3rd_outfitter,Total_outfitter,Resident_successful_draw_total,Nonresident_successful_draw_total,Outiftter_successful_draw_total,Total_drawn,Resident_percentage_allocation,nonresident_percentage_allocation,outfitter_percentage_allocation,total_allocation_of_available_tags,resident_1st_success,resident_2nd_success,resident_3rd_success,resident_4th_success,resident_total_success,nonresident_1st_success,nonresident_2nd_success,nonresident_3rd_success,nonresident_4th_success,nonresident_total_success,outfitter_1st_success,outfitter_2nd_success,outfitter_3rd_success,outfitter_4th_success,outfitter_total_success
ELK-2-187,Unit 50,ES,60,27,32,132,191,10,13,80,103,17,19,52,88,0,0,0,0,46,14,0,60,76.67,23.33,0,100,10,7,29,0,46,5,1,8,0,14,0,0,0,0,0
ELK-2-188,Unit 50,ES,55,19,37,120,176,11,18,73,102,8,19,41,68,0,0,6,6,47,3,5,55,85.45,5.46,9.09,100,11,9,27,0,47,0,1,2,0,3,0,0,5,0,5
ELK-2-193,Unit 51,ES,180,377,508,442,1327,245,289,188,722,93,133,179,405,39,86,75,200,152,10,18,180,84.44,5.56,10,100,99,37,16,0,152,5,2,3,0,10,11,4,3,0,18
ELK-2-194,Unit 51,ES,180,682,798,676,2156,385,414,345,1144,169,276,236,681,128,108,95,331,152,10,18,180,84.44,5.56,10,100,112,29,11,0,152,6,2,2,0,10,15,3,0,0,18
ELK-2-202,Unit 52,ES,230,417,530,599,1546,234,286,305,825,126,172,223,521,57,72,71,200,194,13,23,230,84.35,5.65,10,100,112,42,40,0,194,12,0,1,0,13,10,8,5,0,23
ELK-2-203,Unit 52,ES,230,548,813,696,2057,328,433,323,1084,152,261,242,655,68,119,131,318,194,13,23,230,84.35,5.65,10,100,110,56,28,0,194,6,6,1,0,13,14,3,6,0,23
ELK-2-213,Unit 6A,ES,150,598,674,433,1705,401,372,227,1000,122,188,125,435,75,114,81,270,126,9,15,150,84,6,10,100,90,23,13,0,126,4,3,2,0,9,9,5,1,0,15
ELK-2-214,Unit 6A,ES,102,994,771,468,2233,671,504,279,1454,200,163,122,485,123,104,67,294,86,6,10,102,84.31,5.88,9.81,100,83,3,0,0,86,3,3,0,0,6,7,1,2,0,10
ELK-2-219,Unit 6B,ES,25,834,292,149,1275,396,128,64,588,308,119,59,486,130,45,26,201,21,2,2,25,84,8,8,100,21,0,0,0,21,2,0,0,0,2,2,0,0,0,2
ELK-2-220,Unit 6B,A,10,62,32,31,125,62,32,31,125,0,0,0,0,0,0,0,0,10,0,0,10,100,0,0,100,7,2,1,0,10,0,0,0,0,0,0,0,0,0,0
ELK-2-221,Unit 6B,ES,25,1227,379,256,1862,611,204,154,969,442,139,85,666,174,36,17,227,21,2,2,25,84,8,8,100,19,1,1,0,21,1,0,1,0,2,2,0,0,0,2
ELK-2-222,Unit 6B,A,10,51,46,34,131,51,46,34,131,0,0,0,0,0,0,0,0,10,0,0,10,100,0,0,100,4,5,1,0,10,0,0,0,0,0,0,0,0,0,0
ELK-2-234,Unit 6C,ES,150,263,368,440,1071,196,244,227,667,51,81,130,262,16,43,83,142,126,9,15,150,84,6,10,100,68,39,19,0,126,1,2,6,0,9,5,5,5,0,15
ELK-2-235,Unit 6C,ES,105,359,575,504,1438,262,395,310,967,71,96,115,282,26,84,79,189,89,6,10,105,84.76,5.72,9.52,100,51,32,6,0,89,4,2,0,0,6,4,4,2,0,10
ELK-2-241,Unit 7,ES,15,18,19,34,71,15,14,27,56,3,3,6,12,0,2,1,3,14,1,0,15,93.33,6.67,0,100,8,0,6,0,14,0,0,1,0,1,0,0,0,0,0
ELK-2-242,Unit 7,ES,14,23,40,32,95,19,36,20,75,4,4,9,17,0,0,3,3,12,1,1,14,85.72,7.14,7.14,100,8,3,1,0,12,0,1,0,0,1,0,0,1,0,1
ELK-2-246,Unit 12,ES,36,105,130,138,373,47,75,70,192,27,39,32,98,31,16,36,83,31,2,3,36,86.11,5.56,8.33,100,14,14,3,0,31,1,1,0,0,2,3,0,0,0,3
ELK-2-247,Unit 12,ES,35,198,175,153,526,88,85,89,262,66,48,47,161,44,42,17,103,30,2,3,35,85.71,5.72,8.57,100,19,8,3,0,30,2,0,0,0,2,2,0,1,0,3
ELK-2-255,Unit 12,APRE/6,25,17,12,43,72,4,4,24,32,13,8,16,37,0,0,3,3,20,4,1,25,80,16,4,100,4,2,14,0,20,1,1,2,0,4,0,0,1,0,1
ELK-2-256,Unit 13,ES,202,418,439,480,1337,227,219,197,643,114,141,140,395,77,79,143,299,170,12,20,202,84.16,5.94,9.9,100,108,30,32,0,170,2,4,6,0,12,7,4,9,0,20
ELK-2-257,Unit 13,ES,148,698,650,494,1842,381,348,239,968,182,171,127,480,135,131,128,394,125,9,14,148,84.46,6.08,9.46,100,98,19,8,0,125,7,2,0,0,9,10,2,2,0,14
ELK-2-264,Unit 15,ES,350,1177,1548,1242,3967,650,720,398,1768,394,483,453,1330,133,345,391,869,294,21,35,350,84,6,10,100,190,78,26,0,294,16,4,1,0,21,17,9,9,0,35
ELK-2-265,Unit 15,ES,250,2409,2116,1538,6063,1337,853,488,2678,758,857,498,2113,314,406,552,1272,210,15,25,250,84,6,10,100,193,16,1,0,210,13,1,1,0,15,17,8,0,0,25
ELK-2-272,Unit 16A,ES,250,1078,1009,764,2851,357,430,277,1064,440,349,277,1066,281,230,210,721,210,15,25,250,84,6,10,100,119,67,24,0,210,13,1,1,0,15,15,7,3,0,25
ELK-2-273,Unit 16A,ES,150,2220,1777,746,4743,631,551,311,1493,1138,634,301,2073,451,592,134,1177,126,9,15,150,84,6,10,100,107,15,4,0,126,9,0,0,0,9,10,5,0,0,15
