Hunt Code,Unit/Description,Bag,Licenses,1st_choice_total_submissions,2nd_choice_total_submissions,3rd_choice_total_submissions,Total_all_submissions,1st_resident,2nd_resident,3rd_resident,Total_resident,1st_nonresident,2nd_nonresident,3rd_nonresident,Total_nonresident,1st_outfitter,2nd_outfitter,3rd_outfitter,Total_outfitter,Resident_successful_draw_total,Nonresident_successful_draw_total,Outiftter_successful_draw_total,Total_drawn,Resident_percentage_allocation,nonresident_percentage_allocation,outfitter_percentage_allocation,total_allocation_of_available_tags,resident_1st_success,resident_2nd_success,resident_3rd_success,resident_4th_success,resident_total_success,nonresident_1st_success,nonresident_2nd_success,nonresident_3rd_success,nonresident_4th_success,nonresident_total_success,outfitter_1st_success,outfitter_2nd_success,outfitter_3rd_success,outfitter_4th_success,outfitter_total_success
ELK-2-279,Unit 16B/22,ES,225,433,481,370,1284,156,196,211,563,203,204,121,528,74,81,38,193,189,14,22,225,84,6.22,9.78,100,81,47,61,0,189,11,2,1,0,14,9,7,6,0,22
ELK-2-280,Unit 16B/22,ES,165,591,639,515,1745,233,283,210,726,268,277,235,780,90,79,70,239,139,10,16,165,84.24,6.06,9.7,100,69,48,22,0,139,10,0,0,0,10,8,5,3,0,16
ELK-2-284,Unit 16C,ES,144,229,295,392,916,108,182,198,488,101,76,137,314,20,37,57,114,121,9,14,144,84.03,6.25,9.72,100,56,34,31,0,121,6,0,3,0,9,6,5,3,0,14
ELK-2-285,Unit 16C,ES,100,289,407,378,1074,168,209,171,548,99,142,144,385,22,56,63,141,84,6,10,100,84,6,10,100,61,16,7,0,84,5,1,0,0,6,3,3,4,0,10
ELK-2-291,Unit 16D,ES,90,848,580,440,1868,333,218,148,699,309,246,210,765,206,116,82,404,76,5,9,90,84.44,5.56,10,100,62,14,0,0,76,3,2,0,0,5,8,1,0,0,9
ELK-2-292,Unit 16D,ES,60,1881,825,510,3216,489,343,226,1058,688,314,219,1221,704,168,65,937,51,3,6,60,85,5,10,100,48,2,1,0,51,3,0,0,0,3,6,0,0,0,6
ELK-2-298,Unit 16E,ES,90,93,125,219,437,43,54,126,223,27,53,42,122,23,18,51,92,76,5,9,90,84.44,5.56,10,100,25,15,36,0,76,2,2,1,0,5,5,1,3,0,9
ELK-2-299,Unit 16E,ES,60,84,195,161,440,25,101,77,203,25,48,42,115,34,46,42,122,51,3,6,60,85,5,10,100,10,20,21,0,51,1,0,2,0,3,5,0,1,0,6
ELK-2-305,Unit 17,ES,125,287,449,425,1161,135,187,155,477,111,187,187,485,41,75,83,199,105,8,12,125,84,6.4,9.6,100,57,32,16,0,105,5,2,1,0,8,5,3,4,0,12
ELK-2-306,Unit 17,ES,75,492,557,457,1506,250,255,212,717,174,193,173,540,68,109,72,249,63,5,7,75,84,6.67,9.33,100,47,10,6,0,63,3,1,1,0,5,6,0,1,0,7
ELK-2-314,Unit 21A,ES,50,101,135,128,364,57,80,65,202,15,28,54,97,29,27,9,65,42,3,5,50,84,6,10,100,25,11,6,0,42,0,0,3,0,3,1,4,0,0,5
ELK-2-315,Unit 21A,ES,50,202,180,186,568,89,75,96,260,44,68,75,187,69,37,15,121,42,3,5,50,84,6,10,100,29,9,4,0,42,1,1,1,0,3,5,0,0,0,5
ELK-2-320,Unit 21A,MB,15,8,13,38,59,2,10,22,34,6,3,14,23,0,0,2,2,13,1,1,15,86.67,6.67,6.66,100,2,6,5,0,13,0,1,0,0,1,0,0,1,0,1
ELK-2-321,Unit 21B,ES,25,39,42,114,195,5,19,74,98,30,17,16,63,4,6,24,34,21,2,2,25,84,8,8,100,1,4,16,0,21,2,0,0,0,2,1,0,1,0,2
ELK-2-322,Unit 21B,ES,25,48,61,76,185,22,32,40,94,20,16,19,55,6,13,17,36,21,2,2,25,84,8,8,100,9,10,2,0,21,1,0,1,0,2,1,1,0,0,2
ELK-2-330,Unit 21B,MB,15,0,8,10,18,0,5,10,15,0,3,0,3,0,0,0,0,11,4,0,15,73.33,26.67,0,100,0,4,7,0,11,0,2,0,2,4,0,0,0,0,0
ELK-2-331,Unit 23,ES,125,153,173,381,707,80,91,195,366,57,75,112,244,16,7,74,97,105,8,12,125,84,6.4,9.6,100,48,20,37,0,105,2,2,4,0,8,1,1,10,0,12
ELK-2-332,Unit 23,ES,75,149,295,376,820,66,141,176,383,71,113,106,290,12,41,94,147,63,5,7,75,84,6.67,9.33,100,15,19,29,0,63,5,0,0,0,5,0,3,4,0,7
ELK-2-337,Unit 23,MB,15,3,9,43,55,2,4,20,26,1,5,21,27,0,0,2,2,11,3,1,15,73.33,20,6.67,100,2,3,6,0,11,0,1,2,0,3,0,0,1,0,1
ELK-2-339,Unit 24: excluding Ft. Bayard management area,ES,15,17,28,47,92,13,17,37,67,4,7,8,19,0,4,2,6,13,1,1,15,86.67,6.67,6.66,100,9,2,2,0,13,0,1,0,0,1,0,0,1,0,1
ELK-2-340,Unit 24: excluding Ft. Bayard management area,ES,10,29,33,22,84,28,32,20,80,0,0,1,1,1,1,1,3,9,0,1,10,90,0,10,100,6,3,0,0,9,0,0,0,0,0,0,1,0,0,1
ELK-2-345,Unit 34,ES,200,1412,1674,812,3898,742,787,436,1965,413,515,220,1148,257,372,156,785,168,12,20,200,84,6,10,100,113,45,10,0,168,10,2,0,0,12,13,6,1,0,20
ELK-2-346,Unit 34,ES,200,3001,1835,877,5713,1498,974,463,2935,887,549,313,1749,616,312,101,1029,168,12,20,200,84,6,10,100,162,6,0,0,168,12,0,0,0,12,16,4,0,0,20
ELK-2-355,Unit 34,APRE/6/A,200,115,89,394,598,67,56,295,418,42,28,75,145,6,5,24,35,168,12,20,200,84,6,10,100,41,25,102,0,168,3,2,7,0,12,4,2,14,0,20
ELK-2-358,Unit 36,ES,140,584,762,591,1937,290,307,246,843,187,255,161,603,107,200,184,491,118,8,14,140,84.29,5.71,10,100,68,31,19,0,118,6,2,0,0,8,8,3,3,0,14
ELK-2-359,Unit 36,ES,140,828,998,771,2597,423,503,405,1331,230,302,251,783,175,193,115,483,118,8,14,140,84.29,5.71,10,100,79,27,12,0,118,1,7,0,0,8,5,6,3,0,14
ELK-2-366,Unit 45,ES,75,193,261,172,626,118,137,79,334,59,93,79,231,16,31,14,61,63,5,7,75,84,6.67,9.33,100,41,15,7,0,63,3,1,1,0,5,4,2,1,0,7
ELK-2-367,Unit 45,ES,73,299,308,273,880,173,169,149,491,97,105,103,305,29,34,21,84,62,4,7,73,84.93,5.48,9.59,100,47,14,1,0,62,3,0,1,0,4,1,6,0,0,7
ELK-2-372,Unit 48,ES,80,93,72,156,321,58,40,86,184,22,30,45,97,13,2,25,40,68,4,8,80,85,5,10,100,40,13,15,0,68,3,0,1,0,4,1,1,6,0,8
ELK-2-373,Unit 48,ES,80,106,128,153,387,67,97,96,260,36,23,30,89,3,8,27,38,68,4,8,80,85,5,10,100,35,17,16,0,68,1,0,3,0,4,0,6,2,0,8
ELK-2-379,Unit 49,ES,60,187,252,204,643,138,151,95,384,26,41,52,119,23,60,57,140,51,3,6,60,85,5,10,100,36,11,4,0,51,0,1,2,0,3,2,4,0,0,6
ELK-2-380,Unit 49,ES,59,327,293,194,814,254,200,125,579,37,56,48,141,36,37,21,94,50,3,6,59,84.75,5.08,10.17,100,45,3,2,0,50,3,0,0,0,3,5,1,0,0,6
ELK-2-385,Unit 53,ES,65,57,63,130,250,30,34,57,121,20,22,55,97,7,7,18,32,55,4,6,65,84.62,6.15,9.23,100,25,14,16,0,55,0,2,2,0,4,3,0,3,0,6
ELK-2-386,Unit 53,ES,60,66,78,107,251,36,50,54,140,19,21,47,87,11,7,6,24,51,3,6,60,85,5,10,100,23,12,16,0,51,3,0,0,0,3,3,3,0,0,6
ELK-2-393,Unit 18,ES,25,11,34,37,82,6,21,14,41,3,11,18,32,2,2,5,9,21,2,2,25,84,8,8,100,2,12,7,0,21,1,1,0,0,2,2,0,0,0,2
ELK-2-394,Unit 18,ES,25,46,54,78,178,29,33,34,96,12,17,31,60,5,4,13,22,21,2,2,25,84,8,8,100,8,5,8,0,21,0,0,2,0,2,0,1,1,0,2
ELK-2-398,"Units 29, 30",ES,20,93,79,76,248,64,50,42,156,12,13,27,52,17,16,7,40,17,1,2,20,85,5,10,100,15,2,0,0,17,0,1,0,0,1,2,0,0,0,2
ELK-2-399,"Units 29, 30",ES,20,208,186,177,571,146,135,113,394,18,25,26,69,44,26,38,108,17,1,2,20,85,5,10,100,12,1,4,0,17,0,1,0,0,1,2,0,0,0,2
ELK-2-402,Unit 37,ES,40,107,145,195,447,62,77,95,234,26,28,33,87,19,40,67,126,34,2,4,40,85,5,10,100,18,9,7,0,34,1,1,0,0,2,1,1,2,0,4
ELK-2-403,Unit 37,ES,30,201,203,247,651,100,129,154,383,30,31,28,89,71,43,65,179,26,1,3,30,86.67,3.33,10,100,15,8,3,0,26,1,0,0,0,1,3,0,0,0,3
ELK-2-407,Unit 37,APRE/6,50,13,28,71,112,10,17,43,70,2,9,22,33,1,2,6,9,42,3,5,50,84,6,10,100,10,10,22,0,42,0,2,1,0,3,1,0,4,0,5
ELK-2-411,"Units 42, 47, 59",ES,13,15,13,21,49,7,8,14,29,6,4,7,17,2,1,0,3,11,1,1,13,84.62,7.69,7.69,100,6,5,0,0,11,0,1,0,0,1,1,0,0,0,1
ELK-2-412,"Units 42, 47, 59",ES,13,11,25,29,65,6,16,19,41,4,8,8,20,1,1,2,4,11,1,1,13,84.62,7.69,7.69,100,3,4,4,0,11,0,0,1,0,1,1,0,0,0,1
ELK-2-414,Unit 56,ES,5,9,14,5,28,9,13,5,27,0,1,0,1,0,0,0,0,5,0,0,5,100,0,0,100,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0
ELK-2-415,Unit 56,ES,5,22,15,12,49,21,15,12,48,1,0,0,1,0,0,0,0,5,0,0,5,100,0,0,100,3,2,0,0,5,0,0,0,0,0,0,0,0,0,0
ELK-2-418,Unit 57: Sugarite canyon state park only,ES,3,6,8,8,22,6,8,8,22,0,0,0,0,0,0,0,0,3,0,0,3,100,0,0,100,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ELK-2-419,Unit 57: Sugarite canyon state park only,ES,2,10,9,8,27,10,8,8,26,0,1,0,1,0,0,0,0,2,0,0,2,100,0,0,100,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
ELK-2-420,"Units 57 (excluding Sugarite Canyon State Park), 58",ES,5,9,7,10,26,9,7,10,26,0,0,0,0,0,0,0,0,5,0,0,5,100,0,0,100,3,0,2,0,5,0,0,0,0,0,0,0,0,0,0
ELK-2-421,"Units 57 (excluding Sugarite Canyon State Park), 58",ES,5,18,20,4,42,18,20,4,42,0,0,0,0,0,0,0,0,5,0,0,5,100,0,0,100,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0
ELK-2-425,Unit 54: Colin Neblett WMA only,ES,10,3,8,12,23,3,8,12,23,0,0,0,0,0,0,0,0,10,0,0,10,100,0,0,100,3,2,5,0,10,0,0,0,0,0,0,0,0,0,0
ELK-2-426,Unit 54: Colin Neblett WMA only,ES,10,10,2,18,30,10,2,18,30,0,0,0,0,0,0,0,0,10,0,0,10,100,0,0,100,7,0,3,0,10,0,0,0,0,0,0,0,0,0,0
ELK-2-431,Unit 55A: ES Barker WMA only,ES,5,8,3,4,15,8,3,4,15,0,0,0,0,0,0,0,0,5,0,0,5,100,0,0,100,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0
ELK-2-432,Unit 55A: ES Barker WMA only,ES,5,21,14,8,43,21,14,8,43,0,0,0,0,0,0,0,0,5,0,0,5,100,0,0,100,3,2,0,0,5,0,0,0,0,0,0,0,0,0,0
ELK-2-434,Unit 55A: Urraca WMA only,ES,5,10,5,3,18,10,5,3,18,0,0,0,0,0,0,0,0,5,0,0,5,100,0,0,100,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0
ELK-2-435,Unit 55A: Urraca WMA only,ES,5,12,8,9,29,12,8,9,29,0,0,0,0,0,0,0,0,5,0,0,5,100,0,0,100,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0
ELK-2-441,Unit 55A: Valle Vidal only,ES,25,219,118,82,419,87,45,11,143,88,44,52,184,44,29,19,92,21,2,2,25,84,8,8,100,11,10,0,0,21,1,1,0,0,2,1,1,0,0,2
ELK-2-442,Unit 55A: Valle Vidal only,ES,25,416,179,149,744,187,60,78,325,160,81,53,294,69,38,18,125,21,2,2,25,84,8,8,100,19,2,0,0,21,2,0,0,0,2,2,0,0,0,2
ELK-3-131,Unit 2,MB,135,500,437,516,1453,424,311,314,1049,55,82,94,231,21,44,108,173,114,8,13,135,84.44,5.93,9.63,100,77,22,15,0,114,2,2,4,0,8,3,5,5,0,13
ELK-3-148,Unit 9 Marquez/LBar WMA only,MB,15,70,44,33,147,70,44,33,147,0,0,0,0,0,0,0,0,15,0,0,15,100,0,0,100,11,3,1,0,15,0,0,0,0,0,0,0,0,0,0
ELK-3-149,Unit 9 Marquez/LBar WMA only,MB,15,13,56,24,93,13,56,24,93,0,0,0,0,0,0,0,0,15,0,0,15,100,0,0,100,5,5,5,0,15,0,0,0,0,0,0,0,0,0,0
ELK-3-150,Unit 9 Marquez/LBar WMA only,MB,15,20,13,37,70,20,13,37,70,0,0,0,0,0,0,0,0,15,0,0,15,100,0,0,100,9,1,5,0,15,0,0,0,0,0,0,0,0,0,0
ELK-3-153,"Unit 9, including Water Canyon WMA - mobility impaired only",MB,21,10,1,17,28,10,1,14,25,0,0,3,3,0,0,0,0,20,1,0,21,95.24,4.76,0,100,8,0,12,0,20,0,0,1,0,1,0,0,0,0,0
ELK-3-154,"Unit 9, including Water Canyon WMA",MB,35,27,27,43,97,26,21,35,82,1,6,8,15,0,0,0,0,33,2,0,35,94.29,5.71,0,100,17,5,11,0,33,0,1,1,0,2,0,0,0,0,0
ELK-3-155,"Unit 9, including Water Canyon WMA",MB,35,34,43,33,110,32,35,22,89,2,8,11,21,0,0,0,0,33,2,0,35,94.29,5.71,0,100,20,10,3,0,33,0,0,2,0,2,0,0,0,0,0
ELK-3-156,"Unit 9, including Water Canyon WMA",MB,21,6,13,66,85,5,9,51,65,1,4,15,20,0,0,0,0,20,1,0,21,95.24,4.76,0,100,2,5,13,0,20,0,0,1,0,1,0,0,0,0,0
ELK-3-159,Unit 10,MB,70,202,200,239,641,139,169,180,488,32,22,28,82,31,9,31,71,59,4,7,70,84.29,5.71,10,100,40,12,7,0,59,4,0,0,0,4,5,0,2,0,7
ELK-3-201,Unit 51,ES,145,143,174,342,659,96,139,231,466,36,31,85,152,11,4,26,41,122,9,14,145,84.14,6.21,9.65,100,42,28,52,0,122,3,3,3,0,9,7,1,6,0,14
ELK-3-204,Unit 52 mobility impaired only,MB,50,28,12,38,78,25,11,31,67,2,1,4,7,1,0,3,4,44,3,3,50,88,6,6,100,22,6,16,0,44,1,0,2,0,3,1,0,2,0,3
ELK-3-205,Unit 52,MB,120,424,354,404,1182,268,208,222,698,109,101,127,337,47,45,55,147,101,7,12,120,84.17,5.83,10,100,55,24,22,0,101,2,2,3,0,7,8,1,3,0,12
ELK-3-206,Unit 52,A,50,80,98,89,267,80,98,89,267,0,0,0,0,0,0,0,0,50,0,0,50,100,0,0,100,30,15,5,0,50,0,0,0,0,0,0,0,0,0,0
ELK-3-215,Unit 6A,MB,104,653,498,427,1578,473,343,306,1122,111,95,85,291,69,60,36,165,88,6,10,104,84.62,5.77,9.61,100,67,21,0,0,88,6,0,0,0,6,6,4,0,0,10
ELK-3-223,Unit 6B,ES,15,868,389,282,1539,504,249,163,916,252,96,77,425,112,44,42,198,13,1,1,15,86.67,6.67,6.66,100,13,0,0,0,13,1,0,0,0,1,0,1,0,0,1
ELK-3-224,Unit 6B,A,20,89,62,46,197,88,62,46,196,0,0,0,0,1,0,0,1,19,0,1,20,95,0,5,100,14,1,4,0,19,0,0,0,0,0,1,0,0,0,1
ELK-3-236,Unit 6C,MB,155,330,451,464,1245,238,318,276,832,65,90,124,279,27,43,64,134,131,9,15,155,84.52,5.81,9.67,100,71,38,22,0,131,5,3,1,0,9,2,2,11,0,15
ELK-3-243,Unit 7,MB,24,31,53,75,159,28,36,48,112,2,14,17,33,1,3,10,14,21,1,2,24,87.5,4.17,8.33,100,8,5,8,0,21,0,1,0,0,1,0,2,0,0,2
ELK-3-258,Unit 13 youth only,ES,30,153,167,151,471,114,97,80,291,15,36,29,80,24,34,42,100,26,1,3,30,86.67,3.33,10,100,15,4,7,0,26,0,1,0,0,1,0,1,2,0,3
ELK-3-259,Unit 13,MB,86,528,461,419,1408,333,280,236,849,80,100,120,300,115,81,63,259,73,5,8,86,84.88,5.81,9.31,100,52,16,5,0,73,3,0,2,0,5,7,0,1,0,8
ELK-3-260,Unit 13,MB,126,135,385,303,823,78,240,156,474,35,69,69,173,22,76,78,176,106,7,13,126,84.13,5.56,10.31,100,35,46,25,0,106,2,3,2,0,7,3,4,6,0,13
ELK-3-261,Unit 13,MB,126,128,209,418,755,76,105,231,412,28,63,82,173,24,41,105,170,106,7,13,126,84.13,5.56,10.31,100,43,26,37,0,106,2,3,2,0,7,5,2,6,0,13
ELK-3-262,Unit 13,A,117,115,109,170,394,115,109,170,394,0,0,0,0,0,0,0,0,117,0,0,117,100,0,0,100,51,34,32,0,117,0,0,0,0,0,0,0,0,0,0
ELK-3-263,Unit 13,A,116,32,113,133,278,32,113,133,278,0,0,0,0,0,0,0,0,116,0,0,116,100,0,0,100,30,45,41,0,116,0,0,0,0,0,0,0,0,0,0
ELK-3-266,Unit 15 youth only,ES,25,411,303,187,901,273,160,102,535,78,64,56,198,60,79,29,168,21,2,2,25,84,8,8,100,18,2,1,0,21,2,0,0,0,2,1,1,0,0,2
ELK-3-267,Unit 15,MB,200,1945,1174,1196,4315,1300,651,732,2683,485,323,297,1105,160,200,167,527,168,12,20,200,84,6,10,100,147,13,8,0,168,8,2,2,0,12,8,9,3,0,20
ELK-3-268,Unit 15,MB,245,364,1173,642,2179,226,742,322,1290,99,276,174,549,39,155,146,340,206,15,24,245,84.08,6.12,9.8,100,65,101,40,0,206,4,10,1,0,15,3,12,9,0,24
ELK-3-269,Unit 15,MB,250,242,373,894,1509,136,199,504,839,67,112,229,408,39,62,161,262,210,15,25,250,84,6,10,100,53,54,103,0,210,5,3,7,0,15,8,8,9,0,25
ELK-3-270,Unit 15,A,250,419,359,476,1254,419,359,476,1254,0,0,0,0,0,0,0,0,250,0,0,250,100,0,0,100,145,48,57,0,250,0,0,0,0,0,0,0,0,0,0
ELK-3-271,Unit 15,A,250,75,340,377,792,75,340,377,792,0,0,0,0,0,0,0,0,250,0,0,250,100,0,0,100,41,105,104,0,250,0,0,0,0,0,0,0,0,0,0
ELK-3-301,Unit 16E,MB,70,86,149,180,415,38,71,107,216,36,67,37,140,12,11,36,59,59,4,7,70,84.29,5.71,10,100,20,24,15,0,59,0,3,1,0,4,4,2,1,0,7
ELK-3-307,Unit 17 youth only,ES,25,81,128,196,405,57,76,99,232,16,29,51,96,8,23,46,77,21,2,2,25,84,8,8,100,13,6,2,0,21,0,1,1,0,2,1,1,0,0,2
ELK-3-308,Unit 17,MB,100,345,448,427,1220,216,278,240,734,80,107,114,301,49,63,73,185,84,6,10,100,84,6,10,100,45,27,12,0,84,1,2,3,0,6,4,4,2,0,10
ELK-3-309,Unit 17,MB,100,102,262,321,685,51,145,170,366,45,66,101,212,6,51,50,107,84,6,10,100,84,6,10,100,30,27,27,0,84,1,4,1,0,6,2,4,4,0,10
ELK-3-310,Unit 17,MB,25,154,116,195,465,40,46,102,188,74,47,53,174,40,23,40,103,21,2,2,25,84,8,8,100,16,5,0,0,21,1,1,0,0,2,1,1,0,0,2
ELK-3-311,Unit 17,A,25,30,40,49,119,30,40,49,119,0,0,0,0,0,0,0,0,25,0,0,25,100,0,0,100,12,10,3,0,25,0,0,0,0,0,0,0,0,0,0
ELK-3-312,Unit 17,A,100,34,78,111,223,34,78,111,223,0,0,0,0,0,0,0,0,100,0,0,100,100,0,0,100,25,37,38,0,100,0,0,0,0,0,0,0,0,0,0
ELK-3-313,Unit 17,A,100,13,51,155,219,13,51,155,219,0,0,0,0,0,0,0,0,99,0,1,100,99,0,1,100,13,21,60,5,99,0,0,0,0,0,0,0,0,1,1
ELK-3-334,Unit 23,MB,75,86,137,206,429,38,69,123,230,42,48,61,151,6,20,22,48,63,5,7,75,84,6.67,9.33,100,20,17,26,0,63,3,2,0,0,5,2,5,0,0,7
ELK-3-341,Unit 24: excluding Ft. Bayard management area,MB,15,11,25,42,78,8,23,35,66,3,1,3,7,0,1,4,5,13,1,1,15,86.67,6.67,6.66,100,4,1,8,0,13,0,0,1,0,1,0,1,0,0,1
ELK-3-350,Unit 34,ES,250,1478,1311,1166,3955,1009,767,689,2465,289,382,270,941,180,162,207,549,210,15,25,250,84,6,10,100,144,49,17,0,210,8,5,2,0,15,15,6,4,0,25
ELK-3-360,Unit 36,ES,140,850,755,711,2316,471,397,380,1248,208,207,197,612,171,151,134,456,118,8,14,140,84.29,5.71,10,100,84,21,13,0,118,3,5,0,0,8,6,3,5,0,14
ELK-3-368,Unit 45,MB,136,176,209,278,663,107,148,175,430,51,49,82,182,18,12,21,51,115,8,13,136,84.56,5.88,9.56,100,56,25,34,0,115,3,4,1,0,8,10,0,3,0,13
ELK-3-371,Unit 45,A,49,55,51,69,175,54,51,66,171,0,0,0,0,1,0,3,4,48,0,1,49,97.96,0,2.04,100,28,12,8,0,48,0,0,0,0,0,1,0,0,0,1
ELK-3-374,Unit 48,MB,60,86,72,102,260,62,50,72,184,23,16,22,61,1,6,8,15,51,3,6,60,85,5,10,100,34,6,11,0,51,3,0,0,0,3,1,2,3,0,6
ELK-3-387,Unit 53: excluding Cerro portion,ES,50,55,54,81,190,35,33,45,113,18,21,33,72,2,0,3,5,42,3,5,50,84,6,10,100,19,11,12,0,42,3,0,0,0,3,2,0,3,0,5
ELK-3-427,Unit 54: Colin Neblett WMA only,MB,20,6,17,21,44,6,17,21,44,0,0,0,0,0,0,0,0,20,0,0,20,100,0,0,100,3,12,5,0,20,0,0,0,0,0,0,0,0,0,0
ELK-3-436,Unit 55A: Urraca WMA only,MB,10,10,14,10,34,10,14,10,34,0,0,0,0,0,0,0,0,10,0,0,10,100,0,0,100,6,3,1,0,10,0,0,0,0,0,0,0,0,0,0
ELK-3-443,Unit 55A: Valle Vidal only,MB,20,369,158,104,631,200,58,39,297,139,75,44,258,30,25,21,76,17,1,2,20,85,5,10,100,15,2,0,0,17,1,0,0,0,1,1,0,1,0,2
