Hunt Code,Unit/Description,Bag,Licenses,1st_choice_total_submissions,2nd_choice_total_submissions,3rd_choice_total_submissions,Total_all_submissions,1st_resident,2nd_resident,3rd_resident,Total_resident,1st_nonresident,2nd_nonresident,3rd_nonresident,Total_nonresident,1st_outfitter,2nd_outfitter,3rd_outfitter,Total_outfitter,Resident_successfull_draw_total,Nonresident_successfull_draw_total,Outiftter_successfull_draw_total,Total_drawn,Resident_percentage_allocation,nonresident_percentage_allocation,outfitter_percentage_allocation,total_allocation_of_available_tags,resident_1st_success,resident_2nd_success,resident_3rd_success,resident_4th_success,resident_total_success,nonresident_1st_success,nonresident_2nd_success,nonresident_3rd_success,nonresident_4th_success,nonresident_total_success,outfitter_1st_success,outfitter_2nd_success,outfitter_3rd_success,outfitter_4th_success,outfitter_total_success
DER-3-318,"Unit 33: Huey WMA only, youth only",A,5,0,9,4,13,0,9,4,13,0,0,0,0,0,0,0,0,5,0,0,5,100,0,0,100,0,4,1,0,5,0,0,0,0,0,0,0,0,0,0
DER-3-325,Unit 34,FAD,340,234,177,349,760,203,165,304,672,31,12,40,83,0,0,5,5,318,20,2,340,93.53,5.88,0.59,100,164,77,77,0,318,15,2,3,0,20,0,0,2,0,2
DER-3-331,Unit 36,FAD,115,128,168,162,458,119,140,127,386,7,28,32,67,2,0,3,5,106,7,2,115,92.17,6.09,1.74,100,59,22,25,0,106,2,2,3,0,7,2,0,0,0,2
DER-3-332,Unit 36: youth only,FAD,25,4,7,19,30,2,7,18,27,2,0,1,3,0,0,0,0,17,2,0,19,68,8,0,76,2,5,10,0,17,2,0,0,0,2,0,0,0,0,0
DER-3-337,Unit 37,FAD,125,111,94,134,339,102,77,124,303,9,15,10,34,0,2,0,2,117,8,0,125,93.6,6.4,0,100,65,18,34,0,117,5,3,0,0,8,0,0,0,0,0
DER-3-342,Unit 38,FAD,100,29,40,57,126,29,40,56,125,0,0,1,1,0,0,0,0,84,0,0,84,84,0,0,84,29,26,29,0,84,0,0,0,0,0,0,0,0,0,0
DER-3-347,Unit 39,FAD,40,8,6,21,35,7,5,21,33,1,1,0,2,0,0,0,0,23,2,0,25,57.5,5,0,62.5,7,1,15,0,23,1,1,0,0,2,0,0,0,0,0
DER-3-352,Unit 40,FAD,30,2,1,12,15,2,0,10,12,0,1,1,2,0,0,1,1,4,1,0,5,13.33,3.33,0,16.66,2,0,2,0,4,0,1,0,0,1,0,0,0,0,0
DER-3-360,Unit 41,FAD,25,35,13,27,75,28,10,20,58,2,3,6,11,5,0,1,6,21,2,2,25,84,8,8,100,20,0,1,0,21,1,1,0,0,2,2,0,0,0,2
DER-3-365,Unit 42,FAD,15,7,5,21,33,7,3,19,29,0,2,2,4,0,0,0,0,14,1,0,15,93.33,6.67,0,100,7,1,6,0,14,0,1,0,0,1,0,0,0,0,0
DER-3-368,Unit 43,FAD,15,14,39,19,72,14,38,19,71,0,1,0,1,0,0,0,0,15,0,0,15,100,0,0,100,8,2,5,0,15,0,0,0,0,0,0,0,0,0,0
DER-3-374,Unit 45,FAD,160,313,241,306,860,293,222,273,788,18,15,29,62,2,4,4,10,146,9,5,160,91.24,5.63,3.13,100,93,30,23,0,146,3,4,2,0,9,2,1,2,0,5
DER-3-378,Unit 47,FAD,20,15,4,17,36,14,4,13,31,1,0,4,5,0,0,0,0,19,1,0,20,95,5,0,100,11,4,4,0,19,1,0,0,0,1,0,0,0,0,0
DER-3-382,Unit 48,FAD,30,54,59,55,168,54,52,44,150,0,5,10,15,0,2,1,3,28,1,1,30,93.34,3.33,3.33,100,17,7,4,0,28,0,0,1,0,1,0,1,0,0,1
DER-3-397,Unit 52: restricted muzzleloader only,FAD,25,85,66,75,226,76,56,67,199,7,9,8,24,2,1,0,3,21,2,2,25,84,8,8,100,17,2,2,0,21,2,0,0,0,2,2,0,0,0,2
DER-3-414,Unit 56,FAD,15,2,4,7,13,1,3,6,10,1,1,1,3,0,0,0,0,14,1,0,15,93.33,6.67,0,100,1,2,5,6,14,1,0,0,0,1,0,0,0,0,0
DER-3-421,Unit 57 (excluding Sugarite Canyon State Park),FAD,15,27,8,16,51,14,6,14,34,8,0,2,10,5,2,0,7,13,1,1,15,86.67,6.67,6.66,100,7,0,6,0,13,1,0,0,0,1,1,0,0,0,1
DER-3-428,Unit 58,FAD,25,8,19,13,40,8,15,11,34,0,4,2,6,0,0,0,0,23,2,0,25,92,8,0,100,8,8,7,0,23,0,2,0,0,2,0,0,0,0,0
DER-3-435,Unit 59,FAD,25,1,3,6,10,1,2,4,7,0,1,2,3,0,0,0,0,24,1,0,25,96,4,0,100,1,0,3,20,24,0,1,0,0,1,0,0,0,0,0
