Hunt Code,Unit/Description,Bag,Licenses,1st_choice_total_submissions,2nd_choice_total_submissions,3rd_choice_total_submissions,Total_all_submissions,1st_resident,2nd_resident,3rd_resident,Total_resident,1st_nonresident,2nd_nonresident,3rd_nonresident,Total_nonresident,1st_outfitter,2nd_outfitter,3rd_outfitter,Total_outfitter,Resident_successfull_draw_total,Nonresident_successfull_draw_total,Outiftter_successfull_draw_total,Total_drawn,Resident_percentage_allocation,nonresident_percentage_allocation,outfitter_percentage_allocation,total_allocation_of_available_tags,resident_1st_success,resident_2nd_success,resident_3rd_success,resident_4th_success,resident_total_success,nonresident_1st_success,nonresident_2nd_success,nonresident_3rd_success,nonresident_4th_success,nonresident_total_success,outfitter_1st_success,outfitter_2nd_success,outfitter_3rd_success,outfitter_4th_success,outfitter_total_success
DER-3-215,Unit 19: except the White Sands missile range portion and Ft. Bliss,FAD,10,119,59,51,229,103,53,41,197,0,0,0,0,16,6,10,32,9,0,1,10,90,0,10,100,6,3,0,0,9,0,0,0,0,0,1,0,0,0,1
DER-3-220,Unit 20,FAD,85,34,56,75,165,34,51,70,155,0,1,3,4,0,4,2,6,80,2,3,85,94.12,2.35,3.53,100,26,30,24,0,80,0,0,2,0,2,0,3,0,0,3
DER-3-226,Unit 21,FAD,350,73,76,176,325,64,63,150,277,8,13,26,47,1,0,0,1,292,38,1,331,83.43,10.86,0.29,94.58,64,31,82,115,292,8,9,15,6,38,1,0,0,0,1
DER-3-233,Unit 22,FAD,65,21,27,35,83,16,22,29,67,5,5,6,16,0,0,0,0,37,12,0,49,56.92,18.46,0,75.38,16,16,5,0,37,4,5,3,0,12,0,0,0,0,0
DER-3-243,Unit 23: except the Burro mountains hunt area,FAMD,225,59,90,128,277,39,67,104,210,20,22,23,65,0,1,1,2,119,40,1,160,52.89,17.78,0.44,71.11,39,37,43,0,119,19,11,10,0,40,0,1,0,0,1
DER-3-244,Unit 23: except the Burro mountains hunt area,FAWTD,75,8,25,52,85,5,14,44,63,3,11,6,20,0,0,2,2,29,13,0,42,38.67,17.33,0,56,5,3,21,0,29,3,7,3,0,13,0,0,0,0,0
DER-3-251,Unit 23: Burro mountains hunt area only,FAMD,40,75,72,61,208,63,63,41,167,11,8,17,36,1,1,3,5,34,2,4,40,85,5,10,100,18,15,1,0,34,1,1,0,0,2,1,0,3,0,4
DER-3-252,Unit 23: Burro mountains hunt area only,FAWTD,40,33,24,44,101,31,18,36,85,1,2,8,11,1,4,0,5,37,2,1,40,92.5,5,2.5,100,25,3,9,0,37,0,2,0,0,2,1,0,0,0,1
DER-3-263,Unit 24: excluding Fort Bayard management area,FAMD,280,78,77,124,279,72,68,112,252,6,9,12,27,0,0,0,0,142,23,0,165,50.71,8.21,0,58.92,72,30,40,0,142,6,5,12,0,23,0,0,0,0,0
DER-3-264,Unit 24: excluding Fort Bayard management area,FAWTD,75,12,16,30,58,11,13,22,46,1,3,6,10,0,0,2,2,21,7,0,28,28,9.33,0,37.33,11,5,5,0,21,1,2,4,0,7,0,0,0,0,0
